CD_RGINT,NM_RGINT,SIGLA_UF,ano,cultura,area_ha
1202,Cruzeiro do Sul,AC,2021,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2021,cana,175
1202,Cruzeiro do Sul,AC,2021,milho,8450
1202,Cruzeiro do Sul,AC,2021,soja,0
1202,Cruzeiro do Sul,AC,2022,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2022,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2022,cana,167
1202,Cruzeiro do Sul,AC,2022,milho,8500
1202,Cruzeiro do Sul,AC,2022,soja,0
1202,Cruzeiro do Sul,AC,2023,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2023,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2023,cana,157
1202,Cruzeiro do Sul,AC,2023,milho,7990
1202,Cruzeiro do Sul,AC,2023,soja,0
1202,Cruzeiro do Sul,AC,2024,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2024,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2024,cana,155
1202,Cruzeiro do Sul,AC,2024,milho,7990
1202,Cruzeiro do Sul,AC,2024,soja,273
1301,Manaus,AM,2008,algodao_arboreo,0
1301,Manaus,AM,2008,algodao_herbaceo,0
1301,Manaus,AM,2008,cana,4273
1301,Manaus,AM,2008,milho,2596
1301,Manaus,AM,2008,soja,0
1301,Manaus,AM,2009,algodao_arboreo,0
1301,Manaus,AM,2009,algodao_herbaceo,0
1301,Manaus,AM,2009,cana,4219
1301,Manaus,AM,2009,milho,2899
1301,Manaus,AM,2009,soja,0
1301,Manaus,AM,2010,algodao_arboreo,0
1301,Manaus,AM,2010,algodao_herbaceo,0
1301,Manaus,AM,2010,cana,4123
1301,Manaus,AM,2010,milho,3852
1301,Manaus,AM,2010,soja,0
1301,Manaus,AM,2011,algodao_arboreo,0
1301,Manaus,AM,2011,algodao_herbaceo,0
1301,Manaus,AM,2011,cana,4140
1301,Manaus,AM,2011,milho,3784
1301,Manaus,AM,2011,soja,0
1301,Manaus,AM,2012,algodao_arboreo,0
1301,Manaus,AM,2012,algodao_herbaceo,0
1301,Manaus,AM,2012,cana,3934
1301,Manaus,AM,2012,milho,3727
1301,Manaus,AM,2012,soja,0
1301,Manaus,AM,2013,algodao_arboreo,0
1301,Manaus,AM,2013,algodao_herbaceo,0
1301,Manaus,AM,2013,cana,3716
1301,Manaus,AM,2013,milho,2502
1301,Manaus,AM,2013,soja,0
1301,Manaus,AM,2014,algodao_arboreo,0
1301,Manaus,AM,2014,algodao_herbaceo,0
1301,Manaus,AM,2014,cana,4218
1301,Manaus,AM,2014,milho,2600
1301,Manaus,AM,2014,soja,0
1301,Manaus,AM,2015,algodao_arboreo,0
1301,Manaus,AM,2015,algodao_herbaceo,0
1301,Manaus,AM,2015,cana,3440
1301,Manaus,AM,2015,milho,2626
1301,Manaus,AM,2015,soja,0
1301,Manaus,AM,2016,algodao_arboreo,0
1301,Manaus,AM,2016,algodao_herbaceo,0
1301,Manaus,AM,2016,cana,3415
1301,Manaus,AM,2016,milho,978
1301,Manaus,AM,2016,soja,0
1301,Manaus,AM,2017,algodao_arboreo,0
1301,Manaus,AM,2017,algodao_herbaceo,0
1301,Manaus,AM,2017,cana,3673
1301,Manaus,AM,2017,milho,1243
1301,Manaus,AM,2017,soja,0
1301,Manaus,AM,2018,algodao_arboreo,0
1301,Manaus,AM,2018,algodao_herbaceo,0
1301,Manaus,AM,2018,cana,3561
1301,Manaus,AM,2018,milho,592
1301,Manaus,AM,2018,soja,0
1301,Manaus,AM,2019,algodao_arboreo,0
1301,Manaus,AM,2019,algodao_herbaceo,0
1301,Manaus,AM,2019,cana,3661
1301,Manaus,AM,2019,milho,272
1301,Manaus,AM,2019,soja,0
1301,Manaus,AM,2020,algodao_arboreo,0
1301,Manaus,AM,2020,algodao_herbaceo,0
1301,Manaus,AM,2020,cana,3886
1301,Manaus,AM,2020,milho,264
1301,Manaus,AM,2020,soja,0
1301,Manaus,AM,2021,algodao_arboreo,0
1301,Manaus,AM,2021,algodao_herbaceo,0
1301,Manaus,AM,2021,cana,5507
1301,Manaus,AM,2021,milho,321
1301,Manaus,AM,2021,soja,0
1301,Manaus,AM,2022,algodao_arboreo,0
1301,Manaus,AM,2022,algodao_herbaceo,0
1301,Manaus,AM,2022,cana,4587
1301,Manaus,AM,2022,milho,214
1301,Manaus,AM,2022,soja,0
1301,Manaus,AM,2023,algodao_arboreo,0
1301,Manaus,AM,2023,algodao_herbaceo,0
1301,Manaus,AM,2023,cana,4510
1301,Manaus,AM,2023,milho,283
1301,Manaus,AM,2023,soja,0
1301,Manaus,AM,2024,algodao_arboreo,0
1301,Manaus,AM,2024,algodao_herbaceo,0
1301,Manaus,AM,2024,cana,5520
1301,Manaus,AM,2024,milho,192
1301,Manaus,AM,2024,soja,0
1302,Tefé,AM,2008,algodao_arboreo,0
1302,Tefé,AM,2008,algodao_herbaceo,0
1302,Tefé,AM,2008,cana,760
1302,Tefé,AM,2008,milho,2459
1302,Tefé,AM,2008,soja,0
1302,Tefé,AM,2009,algodao_arboreo,0
1302,Tefé,AM,2009,algodao_herbaceo,0
1302,Tefé,AM,2009,cana,782
1302,Tefé,AM,2009,milho,2459
1302,Tefé,AM,2009,soja,0
1302,Tefé,AM,2010,algodao_arboreo,0
1302,Tefé,AM,2010,algodao_herbaceo,0
1302,Tefé,AM,2010,cana,437
1302,Tefé,AM,2010,milho,3420
1302,Tefé,AM,2010,soja,0
1302,Tefé,AM,2011,algodao_arboreo,0
1302,Tefé,AM,2011,algodao_herbaceo,0
