periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,7 - Pastagem deg. média,7 - Pastagem deg. média,335700183.2
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,8 - Pastagem deg. alta,8 - Pastagem deg. alta,258011130.08
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,7 - Pastagem deg. média,7 - Pastagem deg. média,258011130.08
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,149033524.44
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,8 - Pastagem deg. alta,149033524.44
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,5447830.15
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,4327101.32
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,3846208.5
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,6 - Outra agropecuária,6 - Outra agropecuária,3433953.78
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,6 - Outra agropecuária,6 - Outra agropecuária,2394542.01
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,6 - Outra agropecuária,6 - Outra agropecuária,2307572.52
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,2044808.1
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,1306005.64
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,1211380.39
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,917500.58
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,889437.18
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,808490.22
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,5 - Cana-de-açúcar,5 - Cana-de-açúcar,777846.9
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,713562.31
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2 - Soja,2 - Soja,699830.01
2008_2024,2 - Soja,2 - Soja,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,699830.01
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,5 - Cana-de-açúcar,5 - Cana-de-açúcar,563840.42
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,2 - Soja,2 - Soja,426120.72
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,5 - Cana-de-açúcar,5 - Cana-de-açúcar,365083.56
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,2 - Soja,2 - Soja,361120.88
